2026-05-12 16:18:05 [INFO    ] main                 Evaluating BTC_USDT @ 80478.00
2026-05-12 16:18:05 [INFO    ] main                 Evaluating ETH_USDT @ 2280.16
2026-05-12 16:18:08 [WARNING ] mexc_client          WebSocket closed: None None
2026-05-12 16:18:10 [INFO    ] main                 Evaluating BTC_USDT @ 80478.00
2026-05-12 16:18:10 [INFO    ] main                 Evaluating ETH_USDT @ 2280.14
2026-05-12 16:18:13 [INFO    ] mexc_client          Reconnecting WebSocket...
2026-05-12 16:18:15 [INFO    ] mexc_client          WebSocket connected
2026-05-12 16:18:15 [INFO    ] mexc_client          WebSocket ready
2026-05-12 16:18:15 [INFO    ] mexc_client          Subscribed to BTC_USDT
2026-05-12 16:18:15 [INFO    ] mexc_client          Subscribed to ETH_USDT
2026-05-12 16:18:15 [INFO    ] main                 Evaluating BTC_USDT @ 80478.00
2026-05-12 16:18:15 [INFO    ] main                 Evaluating ETH_USDT @ 2280.14
2026-05-12 16:18:21 [INFO    ] main                 Evaluating BTC_USDT @ 80477.90
2026-05-12 16:18:21 [INFO    ] main                 Evaluating ETH_USDT @ 2279.90
2026-05-12 16:18:26 [INFO    ] main                 Evaluating BTC_USDT @ 80466.00
2026-05-12 16:18:26 [INFO    ] main                 Evaluating ETH_USDT @ 2279.43
2026-05-12 16:18:31 [INFO    ] main                 Evaluating BTC_USDT @ 80465.00
2026-05-12 16:18:31 [INFO    ] main                 Evaluating ETH_USDT @ 2279.22
2026-05-12 16:18:36 [INFO    ] main                 Evaluating BTC_USDT @ 80465.10
2026-05-12 16:18:36 [INFO    ] main                 Evaluating ETH_USDT @ 2279.01
2026-05-12 16:18:41 [INFO    ] main                 Evaluating BTC_USDT @ 80465.10
2026-05-12 16:18:41 [INFO    ] main                 Evaluating ETH_USDT @ 2279.07
2026-05-12 16:18:46 [INFO    ] main                 Evaluating BTC_USDT @ 80477.50
2026-05-12 16:18:46 [INFO    ] main                 Evaluating ETH_USDT @ 2279.23
2026-05-12 16:18:51 [INFO    ] main                 Evaluating BTC_USDT @ 80462.90
2026-05-12 16:18:51 [INFO    ] main                 Evaluating ETH_USDT @ 2278.54
2026-05-12 16:18:56 [INFO    ] main                 Evaluating BTC_USDT @ 80466.00
2026-05-12 16:18:56 [INFO    ] main                 Evaluating ETH_USDT @ 2278.54
2026-05-12 16:19:01 [INFO    ] main                 Evaluating BTC_USDT @ 80468.90
2026-05-12 16:19:01 [INFO    ] main                 Evaluating ETH_USDT @ 2278.82
2026-05-12 16:19:07 [INFO    ] main                 Evaluating BTC_USDT @ 80464.80
2026-05-12 16:19:07 [INFO    ] main                 Evaluating ETH_USDT @ 2278.43
2026-05-12 16:19:12 [INFO    ] main                 Evaluating BTC_USDT @ 80454.70
2026-05-12 16:19:12 [INFO    ] main                 Evaluating ETH_USDT @ 2278.10
2026-05-12 16:19:17 [INFO    ] main                 Evaluating BTC_USDT @ 80465.90
2026-05-12 16:19:17 [INFO    ] main                 Evaluating ETH_USDT @ 2278.94
2026-05-12 16:19:22 [INFO    ] main                 Evaluating BTC_USDT @ 80475.40
2026-05-12 16:19:22 [INFO    ] main                 Evaluating ETH_USDT @ 2279.23
2026-05-12 16:19:24 [WARNING ] mexc_client          WebSocket closed: None None
2026-05-12 16:19:27 [INFO    ] main                 Evaluating BTC_USDT @ 80475.40
2026-05-12 16:19:27 [INFO    ] main                 Evaluating ETH_USDT @ 2279.23
2026-05-12 16:19:29 [INFO    ] mexc_client          Reconnecting WebSocket...
2026-05-12 16:19:30 [INFO    ] mexc_client          WebSocket connected
2026-05-12 16:19:30 [INFO    ] mexc_client          WebSocket ready
2026-05-12 16:19:30 [INFO    ] mexc_client          Subscribed to BTC_USDT
2026-05-12 16:19:30 [INFO    ] mexc_client          Subscribed to ETH_USDT
2026-05-12 16:19:32 [INFO    ] main                 Evaluating BTC_USDT @ 80489.90
2026-05-12 16:19:32 [INFO    ] main                 Evaluating ETH_USDT @ 2279.23
2026-05-12 16:19:37 [INFO    ] main                 Evaluating BTC_USDT @ 80492.00
2026-05-12 16:19:37 [INFO    ] main                 Evaluating ETH_USDT @ 2279.85
2026-05-12 16:19:42 [INFO    ] main                 Evaluating BTC_USDT @ 80492.10
2026-05-12 16:19:42 [INFO    ] main                 Evaluating ETH_USDT @ 2279.86
2026-05-12 16:19:47 [INFO    ] main                 Evaluating BTC_USDT @ 80489.90
2026-05-12 16:19:48 [INFO    ] main                 Evaluating ETH_USDT @ 2280.00
2026-05-12 16:20:43 [WARNING ] ai_model             LightGBM not found – rule-based mode only
2026-05-12 16:20:43 [WARNING ] ai_analyst           google-genai not installed — rule-based analyst active
2026-05-12 16:20:43 [INFO    ] main                 [DRY-RUN] DRY-RUN MODE - no real orders placed
2026-05-12 16:20:43 [INFO    ] mexc_client          MEXCClient initialized | dry_run=True
2026-05-12 16:20:43 [INFO    ] data_fetcher         Database initialized: data/trades.db
2026-05-12 16:20:43 [INFO    ] ai_analyst           AI Analyst running in rule-based mode (no GEMINI_API_KEY)
2026-05-12 16:20:43 [INFO    ] trader               Loaded 0 open positions from DB
2026-05-12 16:20:43 [INFO    ] trader               Trader ready | dry_run=True | open=0
2026-05-12 16:20:43 [INFO    ] main                 ============================================================
2026-05-12 16:20:43 [INFO    ] main                   MEXC SCALPING AI BOT  |  dry_run=True
2026-05-12 16:20:43 [INFO    ] main                   Symbols : BTC_USDT, ETH_USDT, XAUT_USDT, SILVER_USDT, USOIL_USDT
2026-05-12 16:20:43 [INFO    ] main                   Interval: Min1 | Check: 3s
2026-05-12 16:20:43 [INFO    ] main                 ============================================================
